"","YEAR","POS","PLAYER","YDS.DRV","DRV.ACC","GIR","PP.GIR","EAGLE","BIRDIE","PARS","BOGEY","DBL.","TO.PAR","TO.PAR_","POS_","Marks","PTS"
"77",2019,"T8","United StatesNick Watney",295.9,57.1,70.8,1.784,0,15,48,8,1,"-5",-5,8,72,73
"78",2019,"T8","United StatesJordan Spieth",295.6,41.1,62.5,1.644,0,17,44,10,1,"-5",-5,8,72,76
"79",2019,"T8","CanadaMackenzie Hughes",303.9,51.8,59.7,1.767,1,11,52,8,0,"-5",-5,8,72,72
"80",2019,"T13","United StatesPeter Uihlein",305,37.5,63.9,1.717,0,16,45,10,1,"-4",-4,13,72,70.5
"81",2019,"T13","United StatesBrian Gay",286.2,48.2,61.1,1.727,0,14,49,8,1,"-4",-4,13,72,67.5
"82",2019,"T13","United StatesCharley Hoffman",305.6,55.4,68.1,1.714,0,17,44,9,2,"-4",-4,13,72,72.5
"83",2019,"T13","United StatesJim Furyk",287,71.4,70.8,1.745,0,13,51,7,1,"-4",-4,13,72,66
"84",2019,"T17","United StatesJosh Teater",286.1,50,65.3,1.787,0,13,49,10,0,"-3",-3,17,72,63.5
"85",2019,"T17","United StatesMatt Every",308.2,44.6,66.7,1.688,0,17,42,12,1,"-3",-3,17,72,70
"86",2019,"T19","United StatesJimmy Walker",294.1,57.1,63.9,1.674,1,15,44,10,1,"-2",-2,19,71,74
"87",2019,"T19","United StatesAdam Long",301.3,62.5,59.7,1.721,0,14,49,7,1,"-2",-2,19,71,67
"88",2019,"T19","United StatesBilly Horschel",304.1,69.6,69.4,1.88,0,9,56,7,0,"-2",-2,19,72,56.5
"89",2019,"T19","United StatesBrandt Snedeker",293.2,62.5,62.5,1.667,0,16,44,10,2,"-2",-2,19,72,68
"90",2019,"T19","ArgentinaEmiliano Grillo",296.8,58.9,66.7,1.729,0,15,44,13,0,"-2",-2,19,72,65.5
"91",2019,"T19","United StatesKevin Tway",309.5,46.4,66.7,1.771,0,12,52,7,0,"-2",-2,19,71,63.5
"92",2019,"T19","United StatesScott Piercy",305.2,55.4,65.3,1.723,0,15,46,9,2,"-2",-2,19,72,66.5
"93",2019,"T19","United StatesAustin Cook",298.4,62.5,55.6,1.7,0,15,46,9,2,"-2",-2,19,72,66.5
"94",2019,"T27","United StatesMax Homa",301.5,53.6,61.1,1.795,0,12,49,11,0,"-1",-1,27,72,58
"95",2019,"T27","United StatesJ.J. Henry",296.1,58.9,65.3,1.83,0,9,55,8,0,"-1",-1,27,72,53.5
"96",2019,"T29","United StatesTalor Gooch",300.1,62.5,66.7,1.792,1,15,39,17,0,"E",0,29,72,67
"97",2019,"T29","South AfricaTyrone Van Aswegen",301.4,48.2,62.5,1.822,0,13,47,11,1,"E",0,29,72,59
"98",2019,"T31","VenezuelaJhonattan Vegas",314.6,57.1,68.1,1.755,1,13,46,9,2,"1",1,31,71,65.5
"99",2019,"T31","CanadaCorey Conners",296.7,58.9,66.7,1.813,0,13,48,8,3,"1",1,31,72,58
"100",2019,"T31","United StatesBrian Harman",302.8,66.1,72.2,1.865,0,9,53,10,0,"1",1,31,72,50.5
"101",2019,"T31","United StatesSam Burns",319,46.4,59.7,1.791,1,11,46,14,0,"1",1,31,72,59
"102",2019,"T31","ChileJoaquin Niemann",301,55.4,58.3,1.833,0,9,54,8,1,"1",1,31,72,51
"103",2019,"T31","United StatesChesson Hadley",304.5,32.1,55.6,1.775,0,12,50,7,3,"1",1,31,72,56.5
"104",2019,"T31","United StatesDavid Toms",267.7,57.1,66.7,1.771,0,11,51,8,2,"1",1,31,72,54.5
"105",2019,"T31","United StatesKevin Streelman",306.1,58.9,65.3,1.83,0,11,50,10,1,"1",1,31,72,54
"106",2019,"T31","CanadaRoger Sloan",299,50,70.8,1.824,0,12,49,9,2,"1",1,31,72,56
"107",2019,"T40","United StatesPeter Malnati",310,48.2,58.3,1.714,0,15,42,13,2,"2",2,40,72,59.5
"108",2019,"T40","United StatesBeau Hossler",297.4,41.1,65.3,1.723,0,13,44,15,0,"2",2,40,72,55.5
"109",2019,"T40","United StatesBrice Garnett",299.2,66.1,70.8,1.843,0,12,47,12,1,"2",2,40,72,54.5
"110",2019,"T40","United StatesTrey Mullinax",321.7,46.4,61.1,1.75,0,15,41,15,1,"2",2,40,72,59
"111",2019,"T40","CanadaBenjamin Silverman",292.2,48.2,69.4,1.9,0,10,50,12,0,"2",2,40,72,51
"112",2019,"T40","United StatesTom Hoge",283.6,42.9,48.6,1.771,0,13,46,11,2,"2",2,40,72,56.5
"113",2019,"T40","GermanyMartin Kaymer",295.6,48.2,56.9,1.805,0,14,43,14,1,"2",2,40,72,57.5
"114",2019,"T40","United StatesJason Dufner",293.4,67.9,61.1,1.705,0,14,44,12,2,"2",2,40,72,58
"115",2019,"T48","AustraliaAaron Baddeley",283.7,39.3,55.6,1.75,0,11,49,10,2,"3",3,48,72,51.5
"116",2019,"T48","United StatesChris Stroud",291.2,57.1,50,1.667,0,15,41,15,0,"3",3,48,71,59
"117",2019,"T48","United StatesScott Brown",290.6,66.1,62.5,1.8,0,11,47,14,0,"3",3,48,72,50.5
"118",2019,"T48","United StatesBill Haas",301.2,64.3,56.9,1.78,0,11,47,14,0,"3",3,48,72,50.5
"119",2019,"T48","New ZealandDanny Lee",303.4,33.9,55.6,1.825,0,11,50,8,3,"3",3,48,72,52
"120",2019,"T53","South AfricaBranden Grace",296.5,46.4,51.4,1.703,0,11,47,13,1,"4",4,53,72,49
"121",2019,"T53","IndiaAnirban Lahiri",296.2,42.9,56.9,1.756,0,10,49,12,1,"4",4,53,72,47.5
"122",2019,"T53","ItalyFrancesco Molinari",292.6,60.7,52.8,1.868,0,7,56,7,2,"4",4,53,72,43.5
"123",2019,"T53","United StatesDaniel Berger",305.7,46.4,61.1,1.864,0,9,51,11,1,"4",4,53,72,46
"124",2019,"T53","ScotlandMartin Laird",301,50,59.7,1.767,0,11,48,11,2,"4",4,53,72,49.5
"125",2019,"T58","MexicoAbraham Ancer",293.5,58.9,65.3,1.83,0,12,46,11,3,"5",5,58,72,50.5
"126",2019,"T58","EnglandJustin Rose",313.9,55.4,62.5,1.867,0,9,50,12,1,"5",5,58,72,45
"127",2019,"T58","United StatesTed Potter Jr.",284.1,53.6,63.9,1.848,0,9,50,12,1,"5",5,58,72,45
"128",2019,"T58","United StatesCameron Champ",332,39.3,65.3,1.894,0,11,47,12,2,"5",5,58,72,48.5
"129",2019,"T58","CanadaMike Weir",281.5,48.2,55.6,1.9,0,6,55,11,0,"5",5,58,72,40
"130",2019,"T58","United StatesVaughn Taylor",290.2,48.2,58.3,1.81,1,9,47,14,1,"5",5,58,72,50.5
"131",2019,"T64","EnglandMatt Fitzpatrick",291.3,55.4,59.7,1.791,1,9,47,13,2,"6",6,64,72,50
"132",2019,"T64","United StatesBrian Stuard",285.9,64.3,54.2,1.897,0,6,54,12,0,"6",6,64,72,39
"133",2019,"T64","United StatesBen Crane",289.2,55.4,65.3,1.872,0,8,51,12,1,"6",6,64,72,42.5
"134",2019,"T64","South KoreaK.H. Lee",298.2,53.6,62.5,1.844,0,11,46,13,2,"6",6,64,72,47.5
"135",2019,"68","South KoreaByeong-Hun An",300.2,41.1,59.7,1.791,0,11,47,11,2,"7",7,68,71,49
"136",2019,"69","United StatesNate Lashley",293.9,50,58.3,1.786,0,13,42,13,4,"8",8,69,72,49.5
"137",2019,"T70","EnglandIan Poulter",295.3,55.4,56.9,1.756,1,10,43,15,3,"9",9,70,72,49
"138",2019,"T70","United StatesDominic Bozzelli",292.1,57.1,54.2,1.692,0,13,40,16,3,"9",9,70,72,48
"139",2019,"72","United StatesTim Herron",291.9,33.9,43.1,1.71,0,12,41,15,4,"11",11,72,72,45
"140",2019,"73","Northern IrelandGraeme McDowell",288.9,48.2,52.8,1.816,0,9,44,17,2,"12",12,73,72,38.5
"141",2018,"1","EnglandJustin Rose",305.9,66.1,79.2,1.614,0,25,42,5,0,"-20",-20,1,72,123.5
"142",2018,"2","United StatesBrooks Koepka",321,58.9,69.4,1.56,0,25,41,4,2,"-17",-17,2,72,111.5
"143",2018,"3","ArgentinaEmiliano Grillo",293.9,60.7,69.4,1.58,0,21,46,5,0,"-16",-16,3,72,101.5
"144",2018,"4","United StatesKevin Na",303.8,53.6,70.8,1.627,1,21,43,5,2,"-14",-14,4,72,104
"145",2018,"T5","United StatesKevin Tway",315.6,46.4,72.2,1.731,0,18,46,8,0,"-10",-10,5,72,87
"146",2018,"T5","South AfricaLouis Oosthuizen",301.3,58.9,70.8,1.647,0,19,46,5,2,"-10",-10,5,72,89.5
"147",2018,"T5","SpainJon Rahm",325.1,58.9,77.8,1.714,0,21,40,11,0,"-10",-10,5,72,91.5
"148",2018,"T8","ChileJoaquin Niemann",305.3,57.1,73.6,1.717,0,18,46,7,1,"-9",-9,8,72,81.5
"149",2018,"T8","United StatesBen Crane",292.4,64.3,65.3,1.723,0,17,48,6,1,"-9",-9,8,72,80
"150",2018,"T8","CanadaCorey Conners",296.1,55.4,72.2,1.635,0,21,39,12,0,"-9",-9,8,72,85.5
"151",2018,"T11","CanadaBenjamin Silverman",290.9,71.4,70.8,1.667,0,19,45,6,1,"-8",-8,11,71,81.5
"152",2018,"T11","United StatesTim Herron",295,57.1,73.6,1.792,1,15,47,9,0,"-8",-8,11,72,78
"153",2018,"T11","United StatesChris Kirk",298.1,60.7,73.6,1.755,0,16,49,6,1,"-8",-8,11,72,74.5
"154",2018,"T14","United StatesBill Haas",303.7,51.8,59.7,1.651,0,17,45,10,0,"-7",-7,14,72,74.5
"155",2018,"T14","New ZealandDanny Lee",311.2,64.3,65.3,1.723,0,15,49,8,0,"-7",-7,14,72,71.5
"156",2018,"T14","South AfricaTyrone Van Aswegen",301.5,50,70.8,1.745,0,13,54,4,1,"-7",-7,14,72,69
"157",2018,"T14","United StatesRickie Fowler",289.1,58.9,62.5,1.733,0,16,47,9,0,"-7",-7,14,72,73
"158",2018,"T14","United StatesBrian Harman",291.7,62.5,69.4,1.62,0,21,39,10,2,"-7",-7,14,72,81.5
"159",2018,"T14","United StatesRyan Armour",298.8,62.5,63.9,1.783,0,14,51,7,0,"-7",-7,14,72,70
"160",2018,"T20","Chinese TaipeiC.T. Pan",302.4,66.1,75,1.685,1,17,43,9,2,"-6",-6,20,72,79
"161",2018,"T20","SlovakiaRory Sabbatini",296.8,53.6,61.1,1.705,1,16,44,10,1,"-6",-6,20,72,77
"162",2018,"T20","United StatesJimmy Walker",300.1,53.6,73.6,1.717,0,15,49,7,1,"-6",-6,20,72,70
"163",2018,"T20","United StatesVaughn Taylor",282.8,66.1,72.2,1.75,0,17,45,9,1,"-6",-6,20,72,73
"164",2018,"T20","IndiaShubhankar Sharma",280.4,69.6,72.2,1.75,0,17,47,6,1,"-6",-6,20,71,75.5
"165",2018,"T20","United StatesChesson Hadley",308.1,55.4,69.4,1.7,0,19,41,11,1,"-6",-6,20,72,76
"166",2018,"T20","United StatesAndrew Putnam",307,55.4,76.4,1.727,0,16,47,8,1,"-6",-6,20,72,71.5
"167",2018,"T20","ScotlandRussell Knox",290.9,60.7,73.6,1.811,1,13,49,9,0,"-6",-6,20,72,72
"168",2018,"T20","United StatesJoel Dahmen",306.5,51.8,69.4,1.76,0,14,50,8,0,"-6",-6,20,72,68
"169",2018,"T20","United StatesHarris English",289.5,46.4,56.9,1.585,0,18,44,9,0,"-6",-6,20,71,76.5
"170",2018,"T20","JapanSatoshi Kodaira",307.5,58.9,69.4,1.66,1,18,40,11,2,"-6",-6,20,72,79.5
"171",2018,"T20","United StatesJ.T. Poston",301.8,62.5,68.1,1.714,0,15,49,7,1,"-6",-6,20,72,70
"172",2018,"T32","United StatesNicholas Lindheim",299.7,48.2,63.9,1.739,0,15,47,10,0,"-5",-5,32,72,65.5
"173",2018,"T32","United StatesBrian Stuard",287,64.3,63.9,1.674,0,15,48,8,1,"-5",-5,32,72,66
"174",2018,"T32","United StatesConrad Shindler",287.1,62.5,66.7,1.792,0,12,53,7,0,"-5",-5,32,72,61
"175",2018,"T32","United StatesJordan Spieth",306.2,50,66.7,1.729,0,15,47,10,0,"-5",-5,32,72,65.5
"176",2018,"T32","United StatesMichael Thompson",298.1,60.7,77.8,1.786,0,14,51,6,0,"-5",-5,32,71,66.5
"177",2018,"T32","United StatesBen Martin",293.9,64.3,62.5,1.711,0,14,50,7,1,"-5",-5,32,72,64.5
"178",2018,"T32","United StatesSteve Stricker",296,60.7,69.4,1.7,1,15,45,10,1,"-5",-5,32,72,71.5
"179",2018,"T32","United StatesMatt Kuchar",301.5,67.9,73.6,1.755,0,18,43,9,2,"-5",-5,32,72,71
"180",2018,"T32","United StatesJason Kokrak",315.1,57.1,72.2,1.731,0,17,43,12,0,"-5",-5,32,72,68.5
"181",2018,"T32","United StatesWilliam McGirt",294,58.9,68.1,1.735,0,16,48,6,1,"-5",-5,32,71,70
"182",2018,"T42","United StatesPat Perez",300.6,66.1,58.3,1.524,0,20,37,14,1,"-4",-4,42,72,71.5
"183",2018,"T42","United StatesMaverick McNealy",305.9,57.1,66.7,1.667,0,18,42,10,2,"-4",-4,42,72,69
"184",2018,"T42","United StatesBrandt Snedeker",287.6,58.9,63.9,1.674,0,19,41,9,3,"-4",-4,42,72,71
"185",2018,"T42","United StatesJohn Huh",290.1,58.9,69.4,1.78,0,15,46,11,0,"-4",-4,42,72,63.5
"186",2018,"T42","United StatesTom Hoge",299.4,66.1,65.3,1.787,0,13,50,9,0,"-4",-4,42,72,60.5
"187",2018,"T42","United StatesChad Campbell",283.8,62.5,73.6,1.792,0,15,47,9,1,"-4",-4,42,72,64
"188",2018,"T42","CanadaMackenzie Hughes",298.5,60.7,68.1,1.796,0,13,50,9,0,"-4",-4,42,72,60.5
"189",2018,"T42","United StatesBryson DeChambeau",317.6,62.5,77.8,1.821,0,13,52,5,2,"-4",-4,42,72,61.5
"190",2018,"T42","United StatesDerek Fathauer",287.2,55.4,72.2,1.731,0,16,48,4,4,"-4",-4,42,72,67
"191",2018,"T42","United StatesTed Potter Jr.",298.6,62.5,70.8,1.863,0,15,47,9,1,"-4",-4,42,72,64
"192",2018,"T52","AustraliaAdam Scott",297.1,69.6,76.4,1.836,0,15,47,9,0,"-3",-3,52,71,64
"193",2018,"T52","United StatesKevin Kisner",296.4,51.8,65.3,1.681,0,16,44,11,1,"-3",-3,52,72,63.5
"194",2018,"T52","United StatesRobert Streb",296.2,48.2,63.9,1.783,0,12,51,9,0,"-3",-3,52,72,57
"195",2018,"T52","CanadaAdam Hadwin",305.3,66.1,66.7,1.792,0,16,43,13,0,"-3",-3,52,72,63
"196",2018,"T52","United StatesCharley Hoffman",301.6,58.9,62.5,1.622,0,20,39,10,2,"-3",-3,52,71,72.5
"197",2018,"T52","MexicoAbraham Ancer",303.7,48.2,68.1,1.796,0,12,51,9,0,"-3",-3,52,72,57
"198",2018,"T58","United StatesTrey Mullinax",323.8,58.9,72.2,1.788,0,13,49,9,1,"-2",-2,58,72,58
"199",2018,"T58","IndiaAnirban Lahiri",303.2,51.8,61.1,1.773,0,14,47,10,1,"-2",-2,58,72,59.5
"200",2018,"T58","United StatesRussell Henley",295.3,55.4,68.1,1.816,0,13,49,9,1,"-2",-2,58,72,58
"201",2018,"T58","United StatesTom Lovelady",328.2,51.8,65.3,1.745,0,20,38,11,2,"-2",-2,58,71,71.5
"202",2018,"T58","United StatesStewart Cink",304,67.9,69.4,1.84,2,7,55,7,1,"-2",-2,58,72,60
"203",2018,"T58","South KoreaWhee Kim",289.8,58.9,54.2,1.692,0,13,49,9,1,"-2",-2,58,72,58
"204",2018,"T64","United StatesPatton Kizzire",292,35.7,70.8,1.824,0,13,49,8,2,"-1",-1,64,72,57.5
"205",2018,"T64","United StatesBeau Hossler",303.3,60.7,65.3,1.787,1,10,52,7,2,"-1",-1,64,72,58.5
"206",2018,"T66","United StatesBrandon Harkins",308.5,58.9,72.2,1.731,0,16,42,12,2,"E",0,66,72,61
"207",2018,"T66","GermanyAlex Cejka",281.6,57.1,58.3,1.738,0,13,48,9,2,"E",0,66,72,56.5
"208",2018,"T66","United StatesJim Furyk",281.5,62.5,69.4,1.76,0,13,46,13,0,"E",0,66,72,55.5
"209",2018,"T66","United StatesShawn Stefani",308.3,62.5,76.4,1.855,0,10,52,10,0,"E",0,66,72,51
"210",2018,"T66","South KoreaSi Woo Kim",300.7,50,55.6,1.725,0,13,49,8,1,"E",0,66,71,58.5
"211",2018,"T71","United StatesTyler Duncan",290,55.4,56.9,1.683,0,13,46,12,1,"1",1,71,72,55
"212",2018,"T71","United StatesWesley Bryan",297.8,51.8,61.1,1.682,1,15,41,12,3,"1",1,71,72,64.5
"213",2018,"73","VenezuelaJhonattan Vegas",301.7,53.6,59.7,1.791,0,11,51,7,3,"2",2,73,72,52
"214",2018,"T74","United StatesOllie Schniederjans",300.1,48.2,63.9,1.717,1,13,45,9,3,"3",3,74,71,62
"215",2018,"T74","United StatesRichy Werenski",294.2,62.5,69.4,1.84,0,9,54,8,0,"3",3,74,71,50
"216",2018,"76","United StatesKevin Streelman",306.7,66.1,73.6,1.849,0,10,51,8,3,"4",4,76,72,48.5
"217",2018,"T77","AustraliaJohn Senden",297,42.9,68.1,1.918,0,7,55,8,1,"6",6,77,71,43.5
"218",2018,"T77","United StatesMartin Piller",291.4,44.6,58.3,1.738,0,13,44,12,2,"6",6,77,71,53
"219",2017,"1","United StatesKevin Kisner",293.1,71.4,73.6,1.755,0,16,51,4,1,"-10",-10,1,72,100.5
"220",2017,"T2","United StatesJordan Spieth",293.3,44.6,61.1,1.523,0,21,40,10,1,"-9",-9,2,72,97
"221",2017,"T2","United StatesSean O'Hair",305.7,53.6,63.9,1.63,0,19,44,8,1,"-9",-9,2,72,94
"222",2017,"T2","SpainJon Rahm",318.2,50,69.4,1.74,0,17,47,8,0,"-9",-9,2,72,90.5
"223",2017,"5","United StatesWebb Simpson",284.2,53.6,63.9,1.717,0,15,50,7,0,"-8",-8,5,72,80.5
"224",2017,"6","New ZealandDanny Lee",299.2,60.7,70.8,1.706,0,18,43,11,0,"-7",-7,6,72,82
"225",2017,"T7","United StatesSteve Stricker",278.1,60.7,65.3,1.766,0,14,50,8,0,"-6",-6,7,72,73
